trade_date,code,stock_name,block_time,block_tag,regime,regime_score,entry_price,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,mfe_pct,mae_pct,exit_logic_result,exit_logic_return_pct
2026-07-24,000660,SK하이닉스,10:04:23,REGIME_BLOCK,RISK_OFF,-6,1857000.0,-6.7,,,,,-2.21,-8.08,LOSS,-0.81
2026-07-24,005380,현대차,10:04:24,REGIME_BLOCK,RISK_OFF,-6,405500.0,-1.85,,,,,1.36,-2.96,LOSS,-0.86
2026-07-24,005930,삼성전자,10:04:24,REGIME_BLOCK,RISK_OFF,-6,260500.0,-4.99,,,,,-0.77,-5.57,LOSS,-0.86
2026-07-24,030190,030190,12:55:14,REGIME_BLOCK,RISK_OFF,-6,14670.0,0.27,,,,,1.23,-0.48,LOSS,-0.55
2026-07-24,460860,460860,14:25:40,REGIME_BLOCK,RISK_OFF,-6,9460.0,-2.96,,,,,1.37,-3.17,LOSS,-0.74
2026-07-27,000660,SK하이닉스,14:01:03,REGIME_BLOCK,RISK_OFF,-4,1789000.0,,,,,,,,WIN,0.61
2026-07-27,002390,002390,13:55:21,REGIME_BLOCK,RISK_OFF,-4,8900.0,,,,,,,,LOSS,-0.79
2026-07-27,003160,003160,13:55:20,REGIME_BLOCK,RISK_OFF,-4,20750.0,,,,,,,,WIN,0.96
2026-07-27,005380,현대차,14:01:01,REGIME_BLOCK,RISK_OFF,-4,401000.0,,,,,,,,LOSS,-0.12
2026-07-27,005930,삼성전자,13:55:19,REGIME_BLOCK,RISK_OFF,-4,251000.0,,,,,,,,WIN,0.6
2026-07-27,011200,011200,13:55:20,REGIME_BLOCK,RISK_OFF,-4,20800.0,,,,,,,,LOSS,-0.72
2026-07-27,024720,024720,13:55:20,REGIME_BLOCK,RISK_OFF,-4,8960.0,,,,,,,,LOSS,-1.0
2026-07-27,037070,파세코,14:01:02,REGIME_BLOCK,RISK_OFF,-4,7500.0,,,,,,,,LOSS,-0.53
2026-07-27,044340,044340,13:55:19,REGIME_BLOCK,RISK_OFF,-4,5570.0,,,,,,,,LOSS,-3.05
2026-07-27,079160,079160,13:55:20,REGIME_BLOCK,RISK_OFF,-4,5020.0,,,,,,,,LOSS,-0.4
2026-07-27,080220,제주반도체,14:01:02,REGIME_BLOCK,RISK_OFF,-4,73600.0,,,,,,,,LOSS,-0.41
2026-07-27,094840,094840,13:55:19,REGIME_BLOCK,RISK_OFF,-4,13140.0,,,,,,,,WIN,0.15
2026-07-27,200470,에이팩트,14:01:02,REGIME_BLOCK,RISK_OFF,-4,4625.0,,,,,,,,LOSS,-0.43
2026-07-27,396470,워트,14:00:59,REGIME_BLOCK,RISK_OFF,-4,5340.0,,,,,,,,WIN,0.19
2026-07-28,000660,SK하이닉스,10:02:32,REGIME_BLOCK,RISK_OFF,-6,1617500.0,,,,,,,,LOSS,-0.96
2026-07-28,005380,현대차,10:02:32,REGIME_BLOCK,RISK_OFF,-6,374500.0,,,,,,,,LOSS,-0.93
2026-07-28,005930,삼성전자,10:02:32,REGIME_BLOCK,RISK_OFF,-6,230000.0,,,,,,,,LOSS,-2.17
2026-07-28,080220,제주반도체,10:02:32,REGIME_BLOCK,RISK_OFF,-6,65400.0,,,,,,,,LOSS,-0.92
2026-07-28,396300,세아메카닉스,11:42:55,REGIME_BLOCK,RISK_OFF,-6,4257.0,,,,,,,,LOSS,-1.81
2026-07-28,396470,워트,10:02:33,REGIME_BLOCK,RISK_OFF,-6,5060.0,,,,,,,,LOSS,-0.99
