trade_date,blocked_trades,virtual_wins,virtual_losses,win_rate,average_return,opportunity_cost,avoided_loss,net_policy_value,result
2026-07-13,14,1,11,7.1429,-1.2383,2.5026,-19.8387,17.3361,EFFECTIVE
2026-07-14,14,2,12,14.2857,-0.4489,5.6032,-11.8879,6.2848,EFFECTIVE
2026-07-15,18,9,9,50.0000,0.0131,12.3583,-12.1221,-0.2363,TOO_STRICT
2026-07-16,8,2,6,25.0000,-0.4693,2.2697,-6.0239,3.7542,EFFECTIVE
2026-07-17,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,NO_DATA
2026-07-20,6,1,5,16.6667,-1.2678,0.2353,-7.8418,7.6065,EFFECTIVE
2026-07-21,9,3,5,33.3333,-0.0873,4.1781,-4.9640,0.7859,EFFECTIVE
2026-07-22,11,1,10,9.0909,-0.9201,0.8493,-10.9702,10.1209,EFFECTIVE
2026-07-23,18,3,12,16.6667,-0.4391,3.9427,-11.8460,7.9033,EFFECTIVE
2026-07-24,5,0,5,0.0000,-0.7640,0.0000,-3.8199,3.8199,EFFECTIVE
2026-07-27,14,5,9,35.7143,-0.3532,2.5158,-7.4607,4.9449,EFFECTIVE
2026-07-28,6,0,6,0.0000,-1.2969,0.0000,-7.7811,7.7811,EFFECTIVE
2026-07-29,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,NO_DATA
2026-07-30,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,NO_DATA
2026-07-31,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,NO_DATA
