종목,Ticker,매수가,실제_수익률,실제_손익,Confidence,진입_허용,포지션_배수,차단_레벨,차단_사유,L3_Conf,L4_Conf,L5_Conf,L6_Conf
한올바이오파마,009420.KS,44800,0.8928571428571428,400,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
한올바이오파마,009420.KS,46050,0.0,0,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
한올바이오파마,009420.KS,46400,-0.7543103448275862,-350,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
태성,004410.KS,37750,-1.5894039735099337,-600,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
태성,004410.KS,38850,-1.5444015444015444,-600,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
태성,004410.KS,38850,-1.5444015444015444,-600,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
태성,004410.KS,38625,-0.5825242718446602,-225,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
태성,004410.KS,38600,-0.5181347150259068,-200,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
로킷헬스케어,418550.KQ,51800,5.405405405405405,2800,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
삼영,005680.KS,6430,1.244167962674961,320,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
삼영,005680.KS,6430,0.4354587869362364,308,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
코오롱티슈진,014680.KS,57050,-0.2629272567922874,-150,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
코오롱티슈진,014680.KS,57100,-0.3502626970227671,-200,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
신테카바이오,226330.KQ,5500,-1.818181818181818,-800,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
메드팩토,035760.KQ,8520,-1.4084507042253522,-840,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
메드팩토,035760.KQ,8390,1.1918951132300355,200,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
메드팩토,035760.KQ,8390,-4.529201430274136,-1900,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
메드팩토,035760.KQ,8040,-0.6218905472636816,-350,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
메드팩토,035760.KQ,8040,-3.109452736318408,-250,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
메드팩토,035760.KQ,7900,-1.3924050632911391,-770,0.0,False,0.0,CONFIDENCE,L6_VALIDATOR failed: L6 검증 실패: 데이터 부족 (최소 100봉 필요),0.5,0.0,0.0,0.0
