종목,매수시간,매도시간,수량,매수가,매도가,손익,수익률
한올바이오파마,09:32:00,09:44:00,1,44800,45200,400,0.8928571428571428
한올바이오파마,11:18:00,14:30:00,1,46050,46050,0,0.0
한올바이오파마,11:24:00,14:30:00,1,46400,46050,-350,-0.7543103448275862
태성,10:54:00,14:05:00,1,37750,37150,-600,-1.5894039735099337
태성,11:34:00,12:44:00,1,38850,38250,-600,-1.5444015444015444
태성,11:34:00,12:44:00,1,38850,38250,-600,-1.5444015444015444
태성,13:33:00,13:35:00,1,38625,38400,-225,-0.5825242718446602
태성,13:34:00,13:41:00,1,38600,38400,-200,-0.5181347150259068
로킷헬스케어,10:59:00,14:51:00,1,51800,54600,2800,5.405405405405405
삼영,11:56:00,14:21:00,4,6430,6510,320,1.244167962674961
삼영,11:56:00,14:38:00,11,6430,6458,308,0.4354587869362364
코오롱티슈진,12:33:00,14:30:00,1,57050,56900,-150,-0.26292725679228746
코오롱티슈진,12:49:00,14:30:00,1,57100,56900,-200,-0.3502626970227671
신테카바이오,15:30:00,10:30:00,8,5500,5400,-800,-1.8181818181818181
메드팩토,10:11:00,10:12:00,7,8520,8400,-840,-1.4084507042253522
메드팩토,10:13:00,10:14:00,2,8390,8490,200,1.1918951132300357
메드팩토,10:13:00,10:15:00,5,8390,8010,-1900,-4.529201430274136
메드팩토,10:16:00,10:17:00,7,8040,7990,-350,-0.6218905472636816
메드팩토,10:16:00,10:19:00,1,8040,7790,-250,-3.109452736318408
메드팩토,10:18:00,10:19:00,7,7900,7790,-770,-1.3924050632911391
글로벌텍스프리,10:03:00,10:42:00,2,6380,6650,540,4.231974921630094
글로벌텍스프리,10:03:00,10:48:00,2,6380,6780,800,6.269592476489027
글로벌텍스프리,10:03:00,11:00:00,1,6380,6670,290,4.545454545454546
글로벌텍스프리,12:53:00,14:13:00,5,6790,6850,300,0.8836524300441826
미래컴퍼니,10:55:00,11:30:00,2,15750,15870,240,0.7619047619047619
미래컴퍼니,11:34:00,13:15:00,2,15950,16140,380,1.1912225705329154
롯데관광개발,13:04:00,15:00:00,1,22300,22300,0,0.0
