profile,period,symbol,signal_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_won,exit_reason,hold_bars,score,rank,n_candidates
OPS,전체 (파라미터 선택 구간),086900,2024-08-12,2024-08-13,2024-08-27,191981.69673334243,192966.0,-0.0019,-37436.0,TRAIL,9,3.0,1,1
OPS,전체 (파라미터 선택 구간),036460,2024-08-13,2024-08-14,2024-09-05,44007.163790832456,45125.0,0.0184,367936.0,TRAIL,15,4.0,1,1
OPS,전체 (파라미터 선택 구간),028260,2024-09-04,2024-09-05,2024-09-25,145362.5343562375,138094.0,-0.057,-1140000.0,SL,11,4.0,1,1
OPS,전체 (파라미터 선택 구간),010130,2024-09-20,2024-09-23,2024-10-21,704819.8125,810543.0,0.143,2860000.0,TP,17,4.0,1,1
OPS,전체 (파라미터 선택 구간),352820,2024-10-18,2024-10-21,2024-11-28,190167.04530687083,203038.0,0.0607,1213619.0,TRAIL,28,3.0,1,1
OPS,전체 (파라미터 선택 구간),010130,2024-12-03,2024-12-04,2024-12-11,1563666.7432675045,1485483.0,-0.057,-1140000.0,SL,5,4.0,1,1
OPS,전체 (파라미터 선택 구간),326030,2025-02-07,2025-02-10,2025-02-19,128300.0,121885.0,-0.057,-1140000.0,SL,7,4.0,1,1
OPS,전체 (파라미터 선택 구간),083450,2025-02-17,2025-02-18,2025-02-25,18965.8547760362,20390.0,0.0681,1362057.0,TRAIL,5,3.0,1,1
OPS,전체 (파라미터 선택 구간),000990,2025-02-10,2025-02-11,2025-02-28,41104.420177424065,41634.0,0.0059,117915.0,TRAIL,13,4.0,1,1
OPS,전체 (파라미터 선택 구간),035900,2025-01-15,2025-01-16,2025-03-06,75949.78342301324,78810.0,0.0307,613246.0,MAX_HOLD,30,3.0,1,1
OPS,전체 (파라미터 선택 구간),083450,2025-02-25,2025-02-26,2025-03-06,20390.24362132353,19371.0,-0.057,-1140000.0,SL,5,3.0,1,1
OPS,전체 (파라미터 선택 구간),036460,2025-03-06,2025-03-07,2025-03-11,38185.69701574739,36276.0,-0.057,-1140000.0,SL,2,4.0,1,1
OPS,전체 (파라미터 선택 구간),005490,2025-03-07,2025-03-10,2025-03-11,302425.9271336554,287305.0,-0.057,-1140000.0,SL,1,4.0,1,1
OPS,전체 (파라미터 선택 구간),033290,2025-02-26,2025-02-27,2025-03-13,2215.0,2104.0,-0.057,-1140000.0,SL,9,3.0,1,1
OPS,전체 (파라미터 선택 구간),039200,2025-03-05,2025-03-06,2025-03-28,31350.0,29782.0,-0.057,-1140000.0,SL,16,3.0,1,1
OPS,전체 (파라미터 선택 구간),086900,2025-04-01,2025-04-02,2025-04-28,143953.23968683463,165546.0,0.143,2860000.0,TP,18,4.0,1,1
OPS,전체 (파라미터 선택 구간),079550,2025-04-17,2025-04-18,2025-05-08,291824.01902173914,335598.0,0.143,2860000.0,TP,11,3.0,1,1
OPS,전체 (파라미터 선택 구간),207940,2025-04-04,2025-04-07,2025-05-12,1560599.0,1560599.0,-0.007,-140000.0,BE_STOP,22,3.0,1,1
OPS,전체 (파라미터 선택 구간),079550,2025-05-12,2025-05-13,2025-05-23,364033.04447751323,418638.0,0.143,2860000.0,TP,8,3.0,1,1
OPS,전체 (파라미터 선택 구간),009830,2025-06-12,2025-06-13,2025-06-17,37450.0,35578.0,-0.057,-1140000.0,SL,2,3.0,1,1
OPS,전체 (파라미터 선택 구간),293490,2025-06-05,2025-06-09,2025-06-24,16900.0,19435.0,0.143,2860000.0,TP,11,3.0,1,1
OPS,전체 (파라미터 선택 구간),196170,2025-07-08,2025-07-09,2025-07-16,417147.1952479339,479719.0,0.143,2860000.0,TP,5,3.0,1,1
OPS,전체 (파라미터 선택 구간),041510,2025-07-22,2025-07-23,2025-07-24,137189.8702808039,130330.0,-0.057,-1140000.0,SL,1,3.0,1,2
OPS,전체 (파라미터 선택 구간),122870,2025-07-22,2025-07-23,2025-07-24,87889.29892025354,83495.0,-0.057,-1140000.0,SL,1,3.0,2,2
OPS,전체 (파라미터 선택 구간),128940,2025-07-18,2025-07-21,2025-07-28,293427.14211438474,278756.0,-0.057,-1140000.0,SL,5,3.0,1,1
OPS,전체 (파라미터 선택 구간),034020,2025-08-12,2025-08-13,2025-08-19,66900.0,63555.0,-0.057,-1140000.0,SL,3,4.0,1,1
OPS,전체 (파라미터 선택 구간),251270,2025-08-08,2025-08-11,2025-09-08,54948.41611914753,63191.0,0.143,2860000.0,TP,19,3.0,1,1
OPS,전체 (파라미터 선택 구간),039030,2025-09-22,2025-09-23,2025-09-25,247850.77662037036,235458.0,-0.057,-1140000.0,SL,2,3.0,2,2
OPS,전체 (파라미터 선택 구간),086790,2025-09-16,2025-09-17,2025-10-13,87874.580859375,83481.0,-0.057,-1140000.0,SL,12,3.0,1,1
OPS,전체 (파라미터 선택 구간),066970,2025-09-18,2025-09-22,2025-10-16,73100.0,84065.0,0.143,2860000.0,TP,13,3.0,1,1
OPS,전체 (파라미터 선택 구간),247540,2025-10-15,2025-10-16,2025-10-21,125438.03163243008,144254.0,0.143,2860000.0,TP,3,3.0,1,1
OPS,전체 (파라미터 선택 구간),005930,2025-09-22,2025-09-23,2025-10-22,84736.640625,97447.0,0.143,2860000.0,TP,16,4.0,1,2
OPS,전체 (파라미터 선택 구간),086520,2025-10-17,2025-10-20,2025-10-24,74723.1513030888,85932.0,0.143,2860000.0,TP,4,4.0,1,1
OPS,전체 (파라미터 선택 구간),247540,2025-10-27,2025-10-28,2025-10-30,171615.21634477313,163034.0,-0.057,-1140000.0,SL,2,4.0,1,2
OPS,전체 (파라미터 선택 구간),196170,2025-10-28,2025-10-29,2025-11-04,472600.28838424437,543490.0,0.143,2860000.0,TP,4,3.0,2,2
OPS,전체 (파라미터 선택 구간),064350,2025-10-23,2025-10-24,2025-11-05,240214.983608742,228204.0,-0.057,-1140000.0,SL,8,4.0,1,1
OPS,전체 (파라미터 선택 구간),096770,2025-10-27,2025-10-28,2025-11-05,131300.0,124735.0,-0.057,-1140000.0,SL,6,3.0,2,2
OPS,전체 (파라미터 선택 구간),035900,2025-10-28,2025-10-29,2025-11-05,78317.04430379746,78317.0,-0.007,-140000.0,BE_STOP,5,3.0,1,2
OPS,전체 (파라미터 선택 구간),039200,2025-11-05,2025-11-06,2025-11-11,47350.0,44982.0,-0.057,-1140000.0,SL,3,4.0,1,2
OPS,전체 (파라미터 선택 구간),036200,2025-11-05,2025-11-06,2025-11-14,9934.358854539756,9934.0,-0.007,-140000.0,BE_STOP,6,3.0,2,2
OPS,전체 (파라미터 선택 구간),000990,2025-11-13,2025-11-14,2025-11-21,64811.40151164941,61571.0,-0.057,-1140000.0,SL,5,3.0,1,1
OPS,전체 (파라미터 선택 구간),357780,2025-12-02,2025-12-03,2025-12-04,287782.0143092105,273393.0,-0.057,-1140000.0,SL,1,3.0,1,1
OPS,전체 (파라미터 선택 구간),373220,2025-12-09,2025-12-10,2025-12-16,451000.0,428450.0,-0.057,-1140000.0,SL,4,3.0,1,1
OPS,전체 (파라미터 선택 구간),006400,2025-12-11,2025-12-12,2025-12-16,310000.0,294500.0,-0.057,-1140000.0,SL,2,3.0,1,1
OPS,전체 (파라미터 선택 구간),035600,2025-11-14,2025-11-17,2025-12-30,10182.217562016753,10220.0,-0.0033,-65787.0,MAX_HOLD,30,3.0,1,1
OPS,전체 (파라미터 선택 구간),083450,2025-12-24,2025-12-26,2026-01-05,26439.024390243903,30405.0,0.143,2860000.0,TP,4,4.0,1,1
OPS,전체 (파라미터 선택 구간),042700,2025-12-29,2025-12-30,2026-01-06,129997.21791601255,149497.0,0.143,2860000.0,TP,3,4.0,1,1
OPS,전체 (파라미터 선택 구간),196300,2026-01-05,2026-01-06,2026-01-14,9110.0,8654.0,-0.057,-1140000.0,SL,6,4.0,2,2
OPS,전체 (파라미터 선택 구간),039030,2026-01-05,2026-01-06,2026-01-20,309500.0,294025.0,-0.057,-1140000.0,SL,10,4.0,1,2
OPS,전체 (파라미터 선택 구간),018260,2025-12-05,2025-12-08,2026-01-22,173395.93580863404,169200.0,-0.0312,-623972.0,MAX_HOLD,30,3.0,1,1
OPS,전체 (파라미터 선택 구간),010130,2026-01-16,2026-01-19,2026-01-22,1631043.0097064395,1549491.0,-0.057,-1140000.0,SL,3,4.0,1,1
OPS,전체 (파라미터 선택 구간),034730,2026-01-07,2026-01-08,2026-01-29,273411.4216234347,314423.0,0.143,2860000.0,TP,15,4.0,1,1
OPS,전체 (파라미터 선택 구간),000660,2026-01-08,2026-01-09,2026-01-29,742505.5,853881.0,0.143,2860000.0,TP,14,4.0,1,1
OPS,전체 (파라미터 선택 구간),066570,2026-01-20,2026-01-21,2026-02-02,101722.09926092178,96636.0,-0.057,-1140000.0,SL,8,4.0,1,1
OPS,전체 (파라미터 선택 구간),086900,2026-01-29,2026-01-30,2026-02-02,139700.0,132715.0,-0.057,-1140000.0,SL,1,4.0,2,3
OPS,전체 (파라미터 선택 구간),036830,2026-02-02,2026-02-03,2026-02-06,51665.7105152027,49082.0,-0.057,-1140000.0,SL,3,4.0,1,4
OPS,전체 (파라미터 선택 구간),403870,2026-01-29,2026-01-30,2026-02-11,44050.0,44050.0,-0.007,-140000.0,BE_STOP,8,4.0,1,3
OPS,전체 (파라미터 선택 구간),047050,2026-01-22,2026-01-23,2026-02-20,62786.70275473934,72205.0,0.143,2860000.0,TP,17,3.0,1,1
OPS,전체 (파라미터 선택 구간),042700,2026-02-02,2026-02-03,2026-02-26,196889.95056917964,226423.0,0.143,2860000.0,TP,14,3.0,2,4
OPS,전체 (파라미터 선택 구간),035600,2026-01-26,2026-01-27,2026-03-03,10550.0,11000.0,0.0357,713081.0,TRAIL,21,4.0,1,1
OPS,전체 (파라미터 선택 구간),005380,2026-02-26,2026-02-27,2026-03-04,589826.7166172107,560335.0,-0.057,-1140000.0,SL,2,3.0,1,1
OPS,전체 (파라미터 선택 구간),005380,2026-03-04,2026-03-05,2026-03-09,562925.8416970803,534780.0,-0.057,-1140000.0,SL,2,4.0,2,2
OPS,전체 (파라미터 선택 구간),012450,2026-03-04,2026-03-05,2026-03-17,1361000.0,1396000.0,0.0187,374328.0,TRAIL,8,4.0,1,2
OPS,전체 (파라미터 선택 구간),051600,2026-03-23,2026-03-24,2026-03-26,66000.0,62700.0,-0.057,-1140000.0,SL,2,4.0,1,1
OPS,전체 (파라미터 선택 구간),094970,2026-03-20,2026-03-23,2026-04-06,2880.0,3312.0,0.143,2860000.0,TP,10,3.0,1,1
OPS,전체 (파라미터 선택 구간),000990,2026-04-09,2026-04-10,2026-04-20,95100.0,109365.0,0.143,2860000.0,TP,6,3.0,2,2
OPS,전체 (파라미터 선택 구간),083450,2026-04-13,2026-04-14,2026-04-22,38650.0,44448.0,0.143,2860000.0,TP,6,4.0,1,2
OPS,전체 (파라미터 선택 구간),000990,2026-04-21,2026-04-22,2026-04-27,120800.0,138920.0,0.143,2860000.0,TP,3,4.0,1,2
OPS,전체 (파라미터 선택 구간),066570,2026-04-09,2026-04-10,2026-04-28,119000.0,136850.0,0.143,2860000.0,TP,12,4.0,1,2
OPS,전체 (파라미터 선택 구간),036830,2026-04-22,2026-04-23,2026-04-28,65800.0,75670.0,0.143,2860000.0,TP,3,3.0,1,1
OPS,전체 (파라미터 선택 구간),047050,2026-05-04,2026-05-06,2026-05-07,88500.0,84075.0,-0.057,-1140000.0,SL,1,3.0,1,1
OPS,전체 (파라미터 선택 구간),035600,2026-04-15,2026-04-16,2026-05-08,11790.0,11200.0,-0.057,-1140000.0,SL,14,3.0,1,1
OPS,전체 (파라미터 선택 구간),357780,2026-04-13,2026-04-14,2026-05-12,423000.0,426500.0,0.0013,25485.0,TRAIL,18,2.0,2,2
OPS,전체 (파라미터 선택 구간),083450,2026-05-12,2026-05-13,2026-05-19,60700.0,57665.0,-0.057,-1140000.0,SL,4,3.0,1,1
E,전체 (파라미터 선택 구간),161390,2024-08-01,2024-08-02,2024-08-05,38636.4556713639,36705.0,-0.057,-1140000.0,SL,1,2.0,1,1
E,전체 (파라미터 선택 구간),950130,2024-08-05,2024-08-06,2024-08-09,6410.0,7371.0,0.143,2860000.0,TP,3,3.0,1,1
E,전체 (파라미터 선택 구간),086900,2024-08-12,2024-08-13,2024-08-27,191981.69673334243,192966.0,-0.0019,-37436.0,TRAIL,9,3.0,1,1
E,전체 (파라미터 선택 구간),035420,2024-08-27,2024-08-28,2024-09-04,165442.08333333334,157170.0,-0.057,-1140000.0,SL,5,2.0,1,2
E,전체 (파라미터 선택 구간),036460,2024-08-13,2024-08-14,2024-09-05,44007.163790832456,45125.0,0.0184,367936.0,TRAIL,15,4.0,1,1
E,전체 (파라미터 선택 구간),010130,2024-08-08,2024-08-09,2024-09-13,501075.25,576237.0,0.143,2860000.0,TP,24,3.0,1,1
E,전체 (파라미터 선택 구간),028260,2024-09-04,2024-09-05,2024-09-25,145362.5343562375,138094.0,-0.057,-1140000.0,SL,11,4.0,1,1
E,전체 (파라미터 선택 구간),018260,2024-08-23,2024-08-26,2024-10-02,142454.8990028783,144757.0,0.0092,183233.0,TRAIL,23,2.0,1,1
E,전체 (파라미터 선택 구간),003490,2024-08-27,2024-08-28,2024-10-17,21144.989838471283,21474.0,0.0086,171111.0,MAX_HOLD,30,2.0,2,2
E,전체 (파라미터 선택 구간),010130,2024-09-20,2024-09-23,2024-10-21,704819.8125,810543.0,0.143,2860000.0,TP,17,4.0,1,1
E,전체 (파라미터 선택 구간),034020,2024-10-22,2024-10-23,2024-10-31,20650.0,20650.0,-0.007,-140000.0,BE_STOP,6,4.0,1,1
E,전체 (파라미터 선택 구간),000810,2024-10-23,2024-10-24,2024-10-31,331159.9003427129,314602.0,-0.057,-1140000.0,SL,5,2.0,1,1
E,전체 (파라미터 선택 구간),067160,2024-11-05,2024-11-06,2024-11-11,89135.20196019701,84678.0,-0.057,-1140000.0,SL,3,2.0,1,1
E,전체 (파라미터 선택 구간),083450,2024-11-11,2024-11-12,2024-11-13,14991.191209990038,14242.0,-0.057,-1140000.0,SL,1,3.0,1,1
E,전체 (파라미터 선택 구간),352820,2024-10-18,2024-10-21,2024-11-28,190167.04530687083,203038.0,0.0607,1213619.0,TRAIL,28,3.0,1,1
E,전체 (파라미터 선택 구간),010130,2024-12-03,2024-12-04,2024-12-11,1563666.7432675045,1485483.0,-0.057,-1140000.0,SL,5,4.0,1,1
E,전체 (파라미터 선택 구간),000270,2024-12-19,2024-12-20,2025-02-03,89581.89605978261,89582.0,-0.007,-140000.0,BE_STOP,24,2.0,1,1
E,전체 (파라미터 선택 구간),326030,2025-02-07,2025-02-10,2025-02-19,128300.0,121885.0,-0.057,-1140000.0,SL,7,4.0,1,1
E,전체 (파라미터 선택 구간),000990,2025-02-10,2025-02-11,2025-02-28,41104.420177424065,41634.0,0.0059,117915.0,TRAIL,13,4.0,1,1
E,전체 (파라미터 선택 구간),247540,2025-02-14,2025-02-17,2025-02-28,128436.5448231719,118941.0,-0.0809,-1618599.0,TRAIL,9,2.0,1,1
E,전체 (파라미터 선택 구간),034730,2025-01-13,2025-01-14,2025-03-04,134178.36454703833,130073.0,-0.0376,-751957.0,MAX_HOLD,30,2.0,1,1
E,전체 (파라미터 선택 구간),035900,2025-01-15,2025-01-16,2025-03-06,75949.78342301324,78810.0,0.0307,613246.0,MAX_HOLD,30,3.0,1,1
E,전체 (파라미터 선택 구간),083450,2025-02-25,2025-02-26,2025-03-06,20390.24362132353,19371.0,-0.057,-1140000.0,SL,5,3.0,1,1
E,전체 (파라미터 선택 구간),036460,2025-03-06,2025-03-07,2025-03-11,38185.69701574739,36276.0,-0.057,-1140000.0,SL,2,4.0,1,1
E,전체 (파라미터 선택 구간),005490,2025-03-07,2025-03-10,2025-03-11,302425.9271336554,287305.0,-0.057,-1140000.0,SL,1,4.0,1,1
E,전체 (파라미터 선택 구간),039200,2025-03-05,2025-03-06,2025-03-28,31350.0,29782.0,-0.057,-1140000.0,SL,16,3.0,1,1
E,전체 (파라미터 선택 구간),373220,2025-03-27,2025-03-28,2025-03-31,360000.0,342000.0,-0.057,-1140000.0,SL,1,2.0,1,1
E,전체 (파라미터 선택 구간),145720,2025-03-26,2025-03-27,2025-04-02,68498.84587577693,76703.0,0.1128,2255382.0,TRAIL,4,3.0,1,1
E,전체 (파라미터 선택 구간),086900,2025-04-01,2025-04-02,2025-04-28,143953.23968683463,165546.0,0.143,2860000.0,TP,18,4.0,1,1
E,전체 (파라미터 선택 구간),079550,2025-04-17,2025-04-18,2025-05-08,291824.01902173914,335598.0,0.143,2860000.0,TP,11,3.0,1,1
E,전체 (파라미터 선택 구간),207940,2025-04-04,2025-04-07,2025-05-12,1560599.0,1560599.0,-0.007,-140000.0,BE_STOP,22,3.0,1,1
E,전체 (파라미터 선택 구간),079550,2025-05-12,2025-05-13,2025-05-23,364033.04447751323,418638.0,0.143,2860000.0,TP,8,3.0,1,1
E,전체 (파라미터 선택 구간),352820,2025-04-29,2025-04-30,2025-05-30,258134.3665145131,265624.0,0.022,440270.0,TRAIL,19,2.0,1,1
E,전체 (파라미터 선택 구간),051600,2025-05-26,2025-05-27,2025-06-02,43630.58045231174,41449.0,-0.057,-1140000.0,SL,4,3.0,1,1
E,전체 (파라미터 선택 구간),012330,2025-05-30,2025-06-02,2025-06-11,246328.29215263692,283278.0,0.143,2860000.0,TP,5,3.0,2,2
E,전체 (파라미터 선택 구간),018260,2025-04-25,2025-04-28,2025-06-16,121092.58375441523,163779.0,0.3455,6910242.0,MAX_HOLD,30,2.0,1,1
E,전체 (파라미터 선택 구간),009830,2025-06-12,2025-06-13,2025-06-17,37450.0,35578.0,-0.057,-1140000.0,SL,2,3.0,1,1
E,전체 (파라미터 선택 구간),293490,2025-05-28,2025-05-29,2025-06-24,16420.0,18883.0,0.143,2860000.0,TP,16,3.0,1,1
E,전체 (파라미터 선택 구간),005380,2025-06-10,2025-06-11,2025-06-30,193391.05823227612,197665.0,0.0151,301989.0,TRAIL,13,3.0,1,1
E,전체 (파라미터 선택 구간),000270,2025-05-30,2025-06-02,2025-07-14,84682.5,97385.0,0.143,2860000.0,TP,28,3.0,1,2
E,전체 (파라미터 선택 구간),196170,2025-07-08,2025-07-09,2025-07-16,417147.1952479339,479719.0,0.143,2860000.0,TP,5,3.0,1,1
E,전체 (파라미터 선택 구간),041510,2025-07-22,2025-07-23,2025-07-24,137189.8702808039,130330.0,-0.057,-1140000.0,SL,1,3.0,1,2
E,전체 (파라미터 선택 구간),122870,2025-07-22,2025-07-23,2025-07-24,87889.29892025354,83495.0,-0.057,-1140000.0,SL,1,3.0,2,2
E,전체 (파라미터 선택 구간),128940,2025-07-18,2025-07-21,2025-07-28,293427.14211438474,278756.0,-0.057,-1140000.0,SL,5,3.0,1,1
E,전체 (파라미터 선택 구간),207940,2025-07-04,2025-07-07,2025-08-01,1597499.875,1597500.0,-0.007,-140000.0,BE_STOP,19,2.0,1,1
E,전체 (파라미터 선택 구간),034020,2025-08-12,2025-08-13,2025-08-19,66900.0,63555.0,-0.057,-1140000.0,SL,3,4.0,1,1
E,전체 (파라미터 선택 구간),035900,2025-08-07,2025-08-08,2025-08-28,76245.6916901629,72433.0,-0.057,-1140000.0,SL,13,2.0,1,1
E,전체 (파라미터 선택 구간),251270,2025-08-08,2025-08-11,2025-09-08,54948.41611914753,63191.0,0.143,2860000.0,TP,19,3.0,1,1
E,전체 (파라미터 선택 구간),034730,2025-08-29,2025-09-01,2025-09-24,199913.71739130435,206284.0,0.0249,497255.0,TRAIL,16,2.0,1,1
E,전체 (파라미터 선택 구간),005930,2025-09-11,2025-09-12,2025-09-25,73675.4460377984,84727.0,0.143,2860000.0,TP,8,4.0,1,1
E,전체 (파라미터 선택 구간),039030,2025-09-22,2025-09-23,2025-09-25,247850.77662037036,235458.0,-0.057,-1140000.0,SL,2,3.0,1,2
E,전체 (파라미터 선택 구간),034020,2025-09-25,2025-09-26,2025-10-10,63500.0,73025.0,0.143,2860000.0,TP,5,2.0,1,1
E,전체 (파라미터 선택 구간),086790,2025-09-16,2025-09-17,2025-10-13,87874.580859375,83481.0,-0.057,-1140000.0,SL,12,3.0,1,1
E,전체 (파라미터 선택 구간),066970,2025-09-18,2025-09-22,2025-10-16,73100.0,84065.0,0.143,2860000.0,TP,13,3.0,1,1
E,전체 (파라미터 선택 구간),005380,2025-10-10,2025-10-13,2025-10-20,210744.28661327233,242356.0,0.143,2860000.0,TP,5,3.0,1,2
E,전체 (파라미터 선택 구간),247540,2025-10-15,2025-10-16,2025-10-21,125438.03163243008,144254.0,0.143,2860000.0,TP,3,3.0,1,1
E,전체 (파라미터 선택 구간),000270,2025-10-10,2025-10-13,2025-10-22,96656.83251421861,111155.0,0.143,2860000.0,TP,7,3.0,2,2
E,전체 (파라미터 선택 구간),086520,2025-10-17,2025-10-20,2025-10-24,74723.1513030888,85932.0,0.143,2860000.0,TP,4,4.0,1,2
E,전체 (파라미터 선택 구간),005490,2025-10-24,2025-10-27,2025-10-31,322825.04912109376,306684.0,-0.057,-1140000.0,SL,4,3.0,1,1
E,전체 (파라미터 선택 구간),096770,2025-10-21,2025-10-22,2025-11-03,124500.0,126500.0,0.0091,181285.0,TRAIL,8,3.0,1,1
E,전체 (파라미터 선택 구간),064350,2025-10-23,2025-10-24,2025-11-05,240214.983608742,228204.0,-0.057,-1140000.0,SL,8,4.0,1,2
E,전체 (파라미터 선택 구간),035900,2025-11-04,2025-11-05,2025-11-06,77922.50269741048,74026.0,-0.057,-1140000.0,SL,1,3.0,1,1
E,전체 (파라미터 선택 구간),039200,2025-11-05,2025-11-06,2025-11-11,47350.0,44982.0,-0.057,-1140000.0,SL,3,4.0,1,2
E,전체 (파라미터 선택 구간),036200,2025-11-05,2025-11-06,2025-11-14,9934.358854539756,9934.0,-0.007,-140000.0,BE_STOP,6,3.0,2,2
E,전체 (파라미터 선택 구간),036460,2025-10-23,2025-10-24,2025-11-18,41732.2050827098,39646.0,-0.057,-1140000.0,SL,17,3.0,2,2
E,전체 (파라미터 선택 구간),293490,2025-11-06,2025-11-07,2025-11-18,15900.0,15900.0,-0.007,-140000.0,BE_STOP,7,2.0,1,1
E,전체 (파라미터 선택 구간),000990,2025-11-13,2025-11-14,2025-11-21,64811.40151164941,61571.0,-0.057,-1140000.0,SL,5,3.0,1,1
E,전체 (파라미터 선택 구간),207940,2025-10-16,2025-10-17,2025-11-24,1732803.0,1789000.0,0.0254,508625.0,TRAIL,26,2.0,1,1
E,전체 (파라미터 선택 구간),357780,2025-12-02,2025-12-03,2025-12-04,287782.0143092105,273393.0,-0.057,-1140000.0,SL,1,3.0,1,1
E,전체 (파라미터 선택 구간),373220,2025-12-09,2025-12-10,2025-12-16,451000.0,428450.0,-0.057,-1140000.0,SL,4,3.0,1,1
E,전체 (파라미터 선택 구간),006400,2025-12-11,2025-12-12,2025-12-16,310000.0,294500.0,-0.057,-1140000.0,SL,2,3.0,1,1
E,전체 (파라미터 선택 구간),236350,2025-12-23,2025-12-24,2025-12-26,45449.81966045342,43177.0,-0.057,-1140000.0,SL,1,3.0,1,1
E,전체 (파라미터 선택 구간),035600,2025-11-14,2025-11-17,2025-12-30,10182.217562016753,10220.0,-0.0033,-65787.0,MAX_HOLD,30,3.0,1,1
E,전체 (파라미터 선택 구간),083450,2025-12-24,2025-12-26,2026-01-05,26439.024390243903,30405.0,0.143,2860000.0,TP,4,4.0,1,2
E,전체 (파라미터 선택 구간),035900,2025-12-24,2025-12-26,2026-01-06,71116.61075949366,71117.0,-0.007,-140000.0,BE_STOP,5,2.0,2,2
E,전체 (파라미터 선택 구간),042700,2025-12-29,2025-12-30,2026-01-06,129997.21791601255,149497.0,0.143,2860000.0,TP,3,4.0,1,1
E,전체 (파라미터 선택 구간),042700,2026-01-06,2026-01-07,2026-01-09,193699.84480563,184015.0,-0.057,-1140000.0,SL,2,3.0,2,2
E,전체 (파라미터 선택 구간),196300,2026-01-06,2026-01-07,2026-01-13,9350.0,8882.0,-0.057,-1140000.0,SL,4,4.0,1,2
E,전체 (파라미터 선택 구간),196300,2026-01-13,2026-01-14,2026-01-16,8760.0,8322.0,-0.057,-1140000.0,SL,2,3.0,1,1
E,전체 (파라미터 선택 구간),039030,2026-01-05,2026-01-06,2026-01-20,309500.0,294025.0,-0.057,-1140000.0,SL,10,4.0,1,2
