symbol,date,engine,pattern,final_score,entry,stop,target,trigger
005930,2024-04-03,choch_live,choch,6.0,80693.34,74215.32,100127.39,True
005930,2025-09-22,choch_live,choch,6.0,82465.14,68737.41,123648.34,True
005930,2025-09-23,choch_live,choch,6.0,83650.27,69132.46,127203.72,True
000660,2026-01-08,choch_live,choch,6.0,754481.44,579832.96,1278426.86,True
012450,2026-03-04,choch_live,choch,6.0,1323000.0,1097000.0,2001000.0,True
042700,2025-12-29,choch_live,choch,6.0,129997.22,114345.71,176951.74,True
042700,2025-12-30,choch_live,choch,6.0,127006.48,114345.71,164988.8,True
042700,2026-02-02,choch_live,choch,6.0,186522.08,164191.27,253514.49,True
000990,2025-02-10,choch_live,choch,6.0,41104.42,29250.16,76667.22,True
000990,2025-02-11,choch_live,choch,6.0,41248.98,29250.16,77245.47,True
000990,2025-11-13,choch_live,choch,6.0,66892.5,51928.4,111784.8,True
000990,2026-04-09,choch_live,choch,6.0,92600.0,76300.0,141500.0,True
000990,2026-04-21,choch_live,choch,6.0,122000.0,89200.0,220400.0,True
357780,2025-12-02,choch_live,choch,6.0,282811.69,226646.96,451305.86,True
357780,2026-04-13,choch_live,choch,6.0,417000.0,360000.0,588000.0,True
036200,2024-05-30,choch_live,choch,6.0,10707.69,9504.91,14316.04,True
036200,2025-11-05,choch_live,choch,6.0,9716.24,9508.03,10340.85,True
403870,2026-01-29,choch_live,choch,6.0,44350.0,32200.0,80800.0,True
079550,2024-05-03,choch_live,choch,6.0,168470.33,151830.06,218391.13,True
079550,2025-04-17,choch_live,choch,6.0,289832.03,234056.8,457157.71,True
079550,2025-04-23,choch_live,choch,6.0,310747.75,246506.63,503471.11,True
079550,2025-05-12,choch_live,choch,6.0,379968.81,298297.92,624981.5,True
006400,2025-12-11,choch_live,choch,6.0,308000.0,296000.0,344000.0,True
247540,2025-10-15,choch_live,choch,6.0,125138.17,109445.93,172214.91,True
247540,2025-10-17,choch_live,choch,6.0,160920.5,109445.93,315344.22,True
247540,2025-10-20,choch_live,choch,6.0,160220.84,109445.93,312545.59,True
247540,2025-10-27,choch_live,choch,6.0,172814.62,117042.17,340131.98,True
247540,2025-10-28,choch_live,choch,6.0,174014.03,121340.05,332035.98,True
086520,2025-10-17,choch_live,choch,6.0,73224.69,45503.2,156389.15,True
086520,2025-10-20,choch_live,choch,6.0,77620.17,45503.2,173971.09,True
086520,2025-10-23,choch_live,choch,6.0,81416.27,45503.2,189155.46,True
010130,2024-06-27,choch_live,choch,6.0,504974.66,457582.81,647150.2,True
010130,2024-07-03,choch_live,choch,6.0,504974.66,470492.66,608420.66,True
010130,2024-09-20,choch_live,choch,6.0,716518.12,503999.84,1354072.99,True
010130,2024-10-07,choch_live,choch,6.0,760386.5,647303.44,1099635.69,True
010130,2024-12-03,choch_live,choch,6.0,1503225.75,871519.96,3398343.12,True
010130,2026-01-16,choch_live,choch,6.0,1579232.25,1126884.28,2936276.16,True
010130,2026-01-19,choch_live,choch,6.0,1578235.88,1126884.28,2932290.66,True
009830,2024-05-22,choch_live,choch,6.0,28327.14,27294.38,31425.42,True
009830,2025-06-12,choch_live,choch,6.0,36300.0,28200.0,60600.0,True
096770,2025-10-27,choch_live,choch,6.0,131300.0,102200.0,218600.0,True
096770,2025-10-30,choch_live,choch,6.0,134600.0,113500.0,197900.0,True
005380,2026-02-26,choch_live,choch,6.0,606764.31,473171.76,1007541.97,True
005380,2026-03-03,choch_live,choch,6.0,592815.75,491523.29,896693.12,True
005380,2026-03-04,choch_live,choch,6.0,499160.81,491523.29,522073.37,True
064350,2025-10-23,choch_live,choch,6.0,240713.36,199846.9,363312.73,True
293490,2025-06-05,choch_live,choch,6.0,16640.0,14140.0,24140.0,True
293490,2025-06-11,choch_live,choch,6.0,16990.0,15030.0,22870.0,True
251270,2025-08-08,choch_live,choch,6.0,54751.47,52013.9,62964.19,True
035900,2025-01-15,choch_live,choch,6.0,74963.42,65001.18,104850.16,True
035900,2025-10-28,choch_live,choch,6.0,78711.59,70623.43,102976.07,True
035900,2025-11-04,choch_live,choch,6.0,80585.68,72596.15,104554.26,True
041510,2024-05-24,choch_live,choch,6.0,89348.38,76387.96,128229.64,True
041510,2025-07-22,choch_live,choch,6.0,136400.3,127320.1,163640.89,True
352820,2024-10-18,choch_live,choch,6.0,188371.12,168616.11,247636.16,True
086790,2025-09-16,choch_live,choch,6.0,88165.87,78164.67,118169.45,True
316140,2026-01-21,choch_live,choch,6.0,28100.35,26298.42,33506.13,True
207940,2025-04-04,choch_live,choch,6.0,1643625.88,1559061.5,1897319.0,True
196170,2025-07-08,choch_live,choch,6.0,418645.91,370686.49,562524.17,True
196170,2025-10-28,choch_live,choch,6.0,475597.75,425640.01,625470.97,True
128940,2025-07-18,choch_live,choch,6.0,291434.44,274994.54,340754.14,True
326030,2025-02-07,choch_live,choch,6.0,127900.0,101900.0,205900.0,True
326030,2025-02-10,choch_live,choch,6.0,124700.0,101900.0,193100.0,True
329180,2024-04-24,choch_live,choch,6.0,127899.41,108842.2,185071.05,True
329180,2024-04-29,choch_live,choch,6.0,138312.12,108842.2,226721.89,True
329180,2024-06-20,choch_live,choch,6.0,139392.67,123675.39,186544.51,True
329180,2024-06-25,choch_live,choch,6.0,147251.33,123675.39,217979.14,True
009540,2024-04-24,choch_live,choch,6.0,122878.53,105215.93,175866.34,True
009540,2024-04-25,choch_live,choch,6.0,120884.37,105215.93,167889.68,True
009540,2024-04-30,choch_live,choch,6.0,124872.7,106165.53,180994.23,True
034020,2025-08-12,choch_live,choch,6.0,65500.0,60900.0,79300.0,True
083450,2025-02-17,choch_live,choch,6.0,18887.8,16400.0,26351.22,True
083450,2025-02-25,choch_live,choch,6.0,20390.24,17463.42,29170.73,True
083450,2025-12-24,choch_live,choch,6.0,26390.24,22243.9,38829.26,True
083450,2025-12-26,choch_live,choch,6.0,26000.0,22243.9,37268.29,True
083450,2026-04-13,choch_live,choch,6.0,36900.0,24350.0,74550.0,True
083450,2026-04-14,choch_live,choch,6.0,39100.0,25050.0,81250.0,True
083450,2026-05-12,choch_live,choch,6.0,63700.0,44750.0,120550.0,True
036460,2024-08-13,choch_live,choch,6.0,43774.32,33994.95,73112.42,True
036460,2024-08-19,choch_live,choch,6.0,43681.18,33994.95,72739.88,True
036460,2025-03-06,choch_live,choch,6.0,38477.19,32938.81,55092.33,True
036460,2025-03-07,choch_live,choch,6.0,37214.05,32938.81,50039.78,True
051600,2024-07-19,choch_live,choch,6.0,34535.92,32838.94,39626.87,True
051600,2024-07-23,choch_live,choch,6.0,35636.67,33159.99,43066.72,True
051600,2026-03-23,choch_live,choch,6.0,64500.0,54900.0,93300.0,True
051600,2026-03-24,choch_live,choch,6.0,62000.0,55500.0,81500.0,True
034730,2026-01-07,choch_live,choch,6.0,276351.31,238132.51,391007.72,True
028260,2024-09-04,choch_live,choch,6.0,145749.12,140336.69,161986.42,True
028260,2026-01-09,choch_live,choch,6.0,268500.0,232758.21,375725.36,True
018260,2024-07-08,choch_live,choch,6.0,151664.11,136315.43,197710.15,True
018260,2025-12-05,choch_live,choch,6.0,172709.03,162405.37,203620.02,True
066570,2026-01-20,choch_live,choch,6.0,104203.12,85942.77,158984.2,True
066570,2026-01-21,choch_live,choch,6.0,108470.49,85942.77,176053.67,True
066570,2026-01-22,choch_live,choch,6.0,105394.02,85942.77,163747.77,True
066570,2026-04-09,choch_live,choch,6.0,117200.0,103600.0,158000.0,True
047050,2026-01-22,choch_live,choch,6.0,61898.21,46744.5,107359.34,True
047050,2026-05-04,choch_live,choch,6.0,87300.0,73700.0,128100.0,True
005490,2025-03-07,choch_live,choch,6.0,305315.38,256195.19,452675.94,True
005490,2025-03-10,choch_live,choch,6.0,299054.94,256195.19,427634.19,True
