trade_id,symbol,name,entry_date,entry_price,exit_date,exit_price,holding_period_days,holding_minutes,profit_loss,profit_rate,live_exit_reason,exit_class,backtest_rule,mapping_basis,strategy_horizon,minutes_to_exit
39,009420,한올바이오파마,,,2025-11-17 09:59:46,44800.0,,,-550.0,-1.21,"초기 실패 컷 (4.8분, -1.21%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,4.8
40,009420,한올바이오파마,,,2025-11-17 11:31:44,46050.0,,,-350.0,-0.75,"초기 실패 컷 (7.0분, -0.75%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,7.0
41,009420,한올바이오파마,,,2025-11-17 11:34:44,46100.0,,,-300.0,-0.65,"초기 실패 컷 (10.0분, -0.65%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,10.0
42,009420,한올바이오파마,,,2025-11-17 11:35:45,46000.0,,,-400.0,-0.86,"초기 실패 컷 (11.0분, -0.86%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,11.0
43,009420,한올바이오파마,,,2025-11-17 11:36:46,46000.0,,,-400.0,-0.86,"초기 실패 컷 (12.0분, -0.86%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,12.0
44,009420,한올바이오파마,,,2025-11-17 11:39:44,46100.0,,,-300.0,-0.65,"초기 실패 컷 (15.0분, -0.65%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,15.0
48,323280,태성,,,2025-11-18 13:35:15,38350.0,,,-250.0,-0.65,"초기 실패 컷 (2.0분, -0.65%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,2.0
49,323280,태성,,,2025-11-18 13:41:12,38400.0,,,-250.0,-0.65,"초기 실패 컷 (8.0분, -0.65%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,8.0
108,235980,메드팩토,,,2025-11-19 10:12:47,8410.0,,,-770.0,-1.29,"초기 실패 컷 (1.0분, -1.29%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,1.0
111,235980,메드팩토,,,2025-11-19 10:17:51,7990.0,,,-400.0,-0.62,"초기 실패 컷 (1.0분, -0.62%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY,1.0
