entry,slots,segment,candidates,trades,win_rate,profit_factor,expectancy_pct,total_return_pct,mdd_pct,avg_hold_bars,max_consecutive_loss,total_pnl_won
A. Pullback (Live),상한 없음,전체,2201,753,33.3,1.148,0.48,72.28,-81.31,9.2,16,72280032
B. CHoCH (Backtest),상한 없음,전체,117,80,43.8,1.884,2.442,39.08,-11.27,8.8,9,39078362
A. Pullback (Live),상한 없음,Train,1216,348,30.5,0.957,-0.143,-9.93,-81.31,9.4,15,-9932534
B. CHoCH (Backtest),상한 없음,Train,34,25,44.0,1.504,1.396,6.98,-11.27,10.3,5,6977337
A. Pullback (Live),상한 없음,Validation,648,190,38.9,1.544,1.567,59.55,-30.47,10.6,15,59552499
B. CHoCH (Backtest),상한 없음,Validation,57,27,37.0,1.746,2.263,12.22,-8.37,7.5,9,12220000
A. Pullback (Live),상한 없음,Test,337,177,35.0,1.177,0.601,21.28,-25.32,5.7,14,21275425
B. CHoCH (Backtest),상한 없음,Test,26,20,45.0,1.693,2.0,8.0,-6.58,6.2,4,8001025
A. Pullback (Live),Top-3 (Live 상한),전체,2201,140,32.9,1.126,0.415,11.63,-12.92,8.8,12,11633195
B. CHoCH (Backtest),Top-3 (Live 상한),전체,117,59,40.7,1.639,1.884,22.23,-11.48,9.3,9,22229608
A. Pullback (Live),Top-3 (Live 상한),Train,1216,60,30.0,0.966,-0.105,-1.25,-12.92,9.8,10,-1254187
B. CHoCH (Backtest),Top-3 (Live 상한),Train,34,23,43.5,1.531,1.469,6.76,-11.48,10.6,4,6755280
A. Pullback (Live),Top-3 (Live 상한),Validation,648,20,35.0,1.239,0.767,3.07,-8.16,11.2,8,3068523
B. CHoCH (Backtest),Top-3 (Live 상한),Validation,57,19,31.6,1.339,1.142,4.34,-9.69,7.9,9,4340000
A. Pullback (Live),Top-3 (Live 상한),Test,337,53,35.8,1.066,0.236,2.5,-13.9,4.8,12,2499757
B. CHoCH (Backtest),Top-3 (Live 상한),Test,26,16,43.8,1.894,2.586,8.27,-5.33,6.0,3,8274328
