reason,bt_trades,bt_pct,live_trades,live_pct,live_win_rate,live_net_won
OTHER,0,0.0,138,57.0,32.6,27770
EARLY_FAILURE,0,0.0,35,14.5,0.0,-26585
HARD_STOP,0,0.0,28,11.6,0.0,-418280
STOP_LOSS,0,0.0,11,4.5,9.1,-19590
TIME_EXIT,0,0.0,10,4.1,20.0,-2150
OVERNIGHT_BLOCK,0,0.0,8,3.3,0.0,-236700
MA5_EXIT,0,0.0,7,2.9,14.3,-241890
TRAILING,0,0.0,4,1.7,50.0,83849
DRAWDOWN_STOP,0,0.0,1,0.4,0.0,-237000
MAX_HOLD,3,3.7,0,0.0,,0
TP,26,32.1,0,0.0,,0
SL,38,46.9,0,0.0,,0
BE_STOP,5,6.2,0,0.0,,0
TRAIL,9,11.1,0,0.0,,0
