stock_code,name,buy,sell_effective,orphan,cause
000230,일동홀딩스,0,1,1,BUY 기록 전무
002020,코오롱,0,1,1,BUY 기록 전무
005940,NH투자증권,0,1,1,BUY 기록 전무
009420,한올바이오파마,3,12,9,SELL 초과
026890,스틱인베스트먼트,0,1,1,BUY 기록 전무
045100,한양이엔지,0,1,1,BUY 기록 전무
049950,미래컴퍼니,1,3,2,SELL 초과
050890,쏠리드,0,1,1,BUY 기록 전무
068290,삼성출판사,0,1,1,BUY 기록 전무
070300,엑스큐어,1,2,1,SELL 초과
082920,비츠로셀,2,3,1,SELL 초과
133690,TIGER 미국나스닥100,0,1,1,BUY 기록 전무
136540,윈스테크넷,0,1,1,BUY 기록 전무
140430,카티스,0,1,1,BUY 기록 전무
204620,글로벌텍스프리,0,4,4,BUY 기록 전무
226330,신테카바이오,0,1,1,BUY 기록 전무
235980,메드팩토,0,6,6,BUY 기록 전무
290550,디케이티,0,2,2,BUY 기록 전무
323280,태성,1,3,2,SELL 초과
361390,제노코,1,8,7,SELL 초과
366030,공구우먼,0,7,7,BUY 기록 전무
388870,파로스아이바이오,0,2,2,BUY 기록 전무
420770,기가비스,0,1,1,BUY 기록 전무
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,0,1,1,BUY 기록 전무
