trade_id,symbol,name,entry_date,entry_price,exit_date,exit_price,holding_period_days,holding_minutes,profit_loss,profit_rate,live_exit_reason,exit_class,backtest_rule,mapping_basis,strategy_horizon
3,049950,미래컴퍼니,,,2025-11-10 15:00:03,17830.0,,,660.0,0.62,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
4,290550,디케이티,,,2025-11-10 15:00:04,8600.0,,,650.0,0.58,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
5,366030,공구우먼,,,2025-11-10 15:00:05,6100.0,,,3800.0,3.39,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
6,290550,디케이티,,,2025-11-10 15:19:14,8550.0,,,-130.0,-0.12,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
7,140430,카티스,,,2025-11-11 15:00:41,3530.0,,,-12710.0,-10.41,손절 (-10.41%),STOP_LOSS,SL,손실 제한,INTRADAY
8,026890,스틱인베스트먼트,,,2025-11-11 15:19:50,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
9,026890,스틱인베스트먼트,,,2025-11-11 15:20:50,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
10,026890,스틱인베스트먼트,,,2025-11-11 15:21:51,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
11,026890,스틱인베스트먼트,,,2025-11-11 15:22:52,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
12,026890,스틱인베스트먼트,,,2025-11-11 15:23:53,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
13,026890,스틱인베스트먼트,,,2025-11-11 15:24:53,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
14,026890,스틱인베스트먼트,,,2025-11-11 15:25:54,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
15,026890,스틱인베스트먼트,,,2025-11-11 15:26:55,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
16,026890,스틱인베스트먼트,,,2025-11-11 15:27:56,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
17,026890,스틱인베스트먼트,,,2025-11-11 15:28:56,10890.0,,,110.0,0.09,장 마감 전 강제 청산 (15:00),TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
