kind,path,size_kb,rows,symbols,freq,is_ohlcv,error
csv,tests/fixtures/smc_012330_20260527_5m.csv,4.8,72,,,True,
csv,tests/fixtures/smc_000660_20260527_5m.csv,5.1,72,,,True,
csv,tests/fixtures/smc_036570_20260527_5m.csv,4.7,72,,,True,
csv,tests/fixtures/smc_005430_20260527_5m.csv,4.4,72,,,True,
csv,tests/fixtures/smc_336260_20260527_5m.csv,4.8,72,,,True,
csv,tests/fixtures/smc_010060_20260527_5m.csv,4.8,72,,,True,
csv,logs/trades_20260326.csv,0.7,5,,,False,
csv,logs/ntd_alpha_20260625.csv,4.4,23,,,False,
csv,logs/late_entry_features_20260704.csv,26.7,124,,,False,
csv,logs/ntd_alpha_20260623.csv,5.9,32,,,False,
csv,logs/trade_log_2026.csv,1.7,12,,,False,
csv,logs/ntd_alpha_20260529.csv,6.4,35,,,False,
csv,logs/block_log_20260401.csv,0.3,8,,,False,
csv,logs/trades_20260401.csv,0.2,1,,,False,
csv,logs/ntd_alpha_20260605.csv,7.8,43,,,False,
csv,logs/trades_20260325.csv,0.3,2,,,False,
csv,logs/ntd_alpha_20260618.csv,4.6,24,,,False,
csv,logs/weekly_review_log.csv,0.7,6,,,False,
csv,logs/ntd_alpha_20260527.csv,4.9,26,,,False,
csv,logs/ntd_alpha_20260528.csv,6.1,35,,,False,
csv,logs/ntd_alpha_20260619.csv,5.3,29,,,False,
csv,logs/ntd_alpha_20260610.csv,8.1,44,,,False,
csv,logs/ntd_alpha_20260526.csv,4.8,26,,,False,
csv,logs/block_log_20260402.csv,0.1,2,,,False,
csv,logs/ntd_alpha_20260602.csv,7.3,41,,,False,
csv,logs/ntd_alpha_20260601.csv,6.5,35,,,False,
csv,logs/candidate_phase2_compare_20260704.csv,9.5,106,,,False,
csv,logs/trades_all.csv,33.7,361,,,False,
csv,logs/ntd_alpha_20260630.csv,3.9,20,,,False,
csv,logs/trade_timeline_rebuilt_20260704.csv,25.8,124,,,False,
csv,logs/ntd_alpha_20260622.csv,6.1,34,,,False,
csv,logs/ntd_alpha_20260612.csv,7.8,42,,,False,
csv,logs/ntd_alpha_20260608.csv,7.9,43,,,False,
csv,logs/ntd_alpha_20260521.csv,4.2,23,,,False,
csv,logs/ntd_alpha_20260626.csv,4.8,26,,,False,
csv,logs/ntd_alpha_20260624.csv,6.0,32,,,False,
csv,logs/block_log_20260325.csv,0.3,8,,,False,
csv,logs/ntd_alpha_20260604.csv,7.5,41,,,False,
csv,logs/entry_quality_summary.csv,14.8,113,,,False,
csv,logs/ntd_alpha_20260609.csv,8.0,43,,,False,
csv,logs/ntd_alpha_20260616.csv,5.5,29,,,False,
csv,logs/smc_mfe_analysis.csv,5.7,26,,,False,
csv,logs/late_entry_solution_compare_20260704.csv,9.4,124,,,False,
csv,logs/grade_performance_summary.csv,0.4,8,,,False,
csv,logs/ntd_alpha_20260525.csv,4.3,23,,,False,
csv,logs/block_log_20260306.csv,41.4,956,,,False,
csv,logs/ntd_alpha_20260520.csv,4.0,23,,,False,
csv,logs/block_log_20260326.csv,0.1,1,,,False,
csv,logs/ntd_alpha_20260617.csv,4.6,24,,,False,
csv,logs/ntd_alpha_20260629.csv,4.9,26,,,False,
csv,logs/ntd_alpha_20260519.csv,3.1,18,,,False,
csv,logs/loss_preentry_checklist_20.csv,6.1,20,,,False,
csv,logs/ntd_alpha_20260611.csv,8.6,47,,,False,
csv,logs/ntd_alpha_20260522.csv,4.3,23,,,False,
csv,logs/ntd_alpha_20260615.csv,6.2,33,,,False,
csv,logs/block_log_20260327.csv,0.1,1,,,False,
csv,logs/block_log_20260403.csv,20.4,612,,,False,
csv,logs/ntd_alpha_20260603.csv,7.4,41,,,False,
csv,logs/time_bucket_performance_summary.csv,0.2,4,,,False,
csv,logs/profiling/memprof_20260728.csv,3.8,62,,,False,
csv,logs/profiling/memprof_20260728.v1.csv,0.3,5,,,False,
csv,reports/regime_candidate_followup.csv,5.1,85,,,False,
csv,reports/regime_period_statistics.csv,2.8,62,,,False,
csv,reports/delay0_diagnosis_table.csv,4.0,23,,,False,
csv,reports/regime/v14_removed_trades_20260705.csv,4.4,9,,,False,
csv,reports/regime/v14_removed_trades_20260727.csv,4.4,9,,,False,
csv,reports/regime/trade_regime_labeled_20260727.csv,46.2,113,,,False,
csv,reports/regime/trade_regime_labeled_ext_20260705.csv,49.2,126,,,False,
csv,reports/regime/trade_regime_labeled_20260705.csv,46.2,113,,,False,
csv,analysis/data/regime_block_history.csv,1.1,15,,,False,
csv,analysis/data/regime_block_detail.csv,2.4,25,,,False,
csv,data/confidence_backtest_real_data_results.csv,4.7,27,,,False,
csv,data/detailed_trade_analysis.csv,6.7,35,,,False,
csv,data/trade_analysis_detailed.csv,1.9,27,,,False,
csv,data/confidence_backtest_results.csv,3.2,27,,,False,
csv,data/raw/396500_KS_5m.csv,264.0,4183,,,True,
csv,phase0/phase0.3_kpi.csv,1.7,9,,,False,
csv,phase0/phase02_results.csv,1.0,5,,,False,
csv,phase0/phase0.3_trade.csv,70.1,570,,,False,
csv,phase1/entry_parity.csv,1.7,16,,,False,
csv,phase1/rootcause_rank.csv,0.5,6,,,False,
csv,phase1/exit_compare.csv,0.5,14,,,False,
csv,phase1/condition_usage.csv,0.1,3,,,False,
csv,phase1/FUNNEL.csv,0.3,8,,,False,
csv,phase1/exit_mapping.csv,0.9,11,,,False,
csv,phase1/slippage_analysis.csv,0.2,4,,,False,
csv,phase1/exit_orphans.csv,1.2,24,,,False,
csv,phase1/ENTRY_SIGNAL_COMPARE.csv,10.1,142,,,False,
csv,phase1/swing_stop_delay.csv,0.8,5,,,False,
csv,phase1/independent_signals.csv,0.6,6,,,False,
csv,phase1/live_exit_analysis.csv,49.1,242,,,False,
csv,phase1/exit_backtest_compare.csv,0.7,6,,,False,
csv,phase1/early_failure_analysis.csv,11.2,46,,,False,
csv,phase1/swing_sizing_check.csv,0.3,5,,,False,
csv,phase1/stop_backtest_compare.csv,1.7,16,,,False,
csv,phase1/live_gate_compare.csv,1.3,14,,,False,
csv,phase1/exit_rule_mapping.csv,0.3,6,,,False,
csv,phase1/universe_origin.csv,6.0,97,,,False,
csv,phase1/swing_forensics.csv,1.6,5,,,False,
csv,phase1/overnight_analysis.csv,2.1,8,,,False,
csv,phase1/universe/universe_funnel.csv,0.5,20,,,False,
csv,phase1/universe/universe_backtest.csv,0.7,4,,,False,
csv,phase1/paper_choch/paper_summary.csv,29.8,483,,,False,
csv,phase1/paper_choch/paper_diff.csv,0.1,0,,,False,
csv,phase1/paper_choch/paper_funnel.csv,60.7,2415,,,False,
csv,phase1/paper_choch/paper_signal_log.csv,13.0,117,,,False,
pkl,logs/accept_index_cache.pkl,967.7,,,,False,
pkl,logs/yf_5m_cache/452160.KS_2026-01-08.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/053700.KS_2026-01-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/361390.KS_2026-02-02.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/223250.KS_2025-12-19.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/232680.KS_2026-01-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/451760.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/005930.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/318060.KS_2026-01-02.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/200470.KS_2025-12-03.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/437730.KS_2026-01-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/130660.KS_2026-02-25.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/047040.KS_2026-02-05.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/124500.KS_2026-01-13.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2025-12-30.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/009420.KS_2025-11-28.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/080220.KS_2026-01-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/452160.KS_2026-02-13.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/294630.KS_2026-04-16.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/003160.KS_2026-01-08.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-14.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/095610.KS_2026-02-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-02.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/056080.KS_2026-02-06.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/101170.KS_2025-12-08.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/318060.KS_2025-11-28.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/189300.KS_2026-02-10.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/073490.KS_2026-03-26.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/489500.KS_2026-01-07.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/460940.KS_2025-12-03.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/053700.KS_2026-01-02.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/232680.KS_2026-01-21.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/211270.KS_2026-02-09.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/060280.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/190510.KS_2026-01-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/070300.KS_2026-04-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/240810.KS_2026-01-29.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/007810.KS_2026-01-22.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/013360.KS_2025-12-05.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/476060.KS_2025-11-28.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/058610.KS_2025-12-01.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/295310.KS_2025-12-18.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/217330.KS_2025-12-16.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/007810.KS_2026-01-15.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/059120.KS_2026-01-26.pkl,0.3,0,,,False,
pkl,logs/yf_5m_cache/053700.KS_2025-12-30.pkl,0.3,0,,,False,
