code,name,state,bars,pages,retries,http429,start_date,end_date,last_update,error
000230,일동홀딩스,OK,17672,20,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
000660,SK하이닉스,OK,18896,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
001120,LX인터내셔널,OK,18808,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
001820,삼화콘덴서,OK,18811,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
002020,코오롱,OK,18789,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
003160,디아이,OK,18844,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
003380,하림지주,OK,18864,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
004310,현대약품,OK,18759,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
005930,삼성전자,OK,18896,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
005940,NH투자증권,OK,18867,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
006400,삼성SDI,OK,18896,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
007810,코리아써키트,OK,18823,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
009420,한올바이오파마,OK,18864,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
013360,일성건설,OK,18503,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
019180,티에이치엔,OK,18606,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
019210,와이지-원,OK,18708,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
023810,인팩,OK,15300,17,0,0,2025-08-01 14:35:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
026890,스틱인베스트먼트,OK,18493,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
030530,원익홀딩스,OK,18839,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
031980,피에스케이홀딩스,OK,18893,21,0,0,2025-08-01 09:00:00+09:00,2026-07-31 15:30:00+09:00,2026-08-03T05:06:32,
035420,NAVER,OK,18819,21,0,0,2025-08-01 09:00:00+09:00,2026-07-30 15:35:00+09:00,2026-08-03T05:06:32,
037030,파워넷,OK,18257,21,0,0,2025-08-01 09:00:00+09:00,2026-07-30 15:35:00+09:00,2026-08-03T05:06:32,
