segment,case,sl_pct,trades,win_rate,profit_factor,expectancy_pct,total_return_pct,mdd_pct,avg_hold_bars,max_consecutive_loss,avg_win_pct,avg_loss_pct,total_pnl_won
전체,Before  손절 -12% (유실 상태),-12.0,80,56.2,1.606,2.394,38.3,-17.65,13.1,6,11.28,-9.03,38298432
전체,After   손절 -5% (구조손절 캡),-5.0,81,43.2,1.813,2.246,36.38,-11.27,8.6,10,11.59,-4.86,36381684
전체,참고    손절 -3%,-3.0,83,36.1,1.876,1.943,32.26,-9.86,6.0,9,11.51,-3.47,32255633
전체,참고    손절 -2%,-2.0,84,29.8,1.985,1.821,30.6,-9.41,4.5,9,12.33,-2.63,30596163
Train,Before  손절 -12% (유실 상태),-12.0,23,47.8,0.985,-0.07,-0.33,-17.65,15.1,6,9.47,-8.82,-325438
Train,After   손절 -5% (구조손절 캡),-5.0,25,44.0,1.504,1.396,6.98,-11.27,10.3,5,9.47,-4.95,6977337
Train,참고    손절 -3%,-3.0,26,34.6,1.449,1.035,5.38,-9.86,6.7,6,9.65,-3.52,5381527
Train,참고    손절 -2%,-2.0,26,23.1,1.45,0.935,4.86,-9.41,3.9,7,13.05,-2.7,4862057
Validation,Before  손절 -12% (유실 상태),-12.0,28,57.1,1.816,3.101,17.37,-11.89,13.1,3,12.08,-8.87,17366257
Validation,After   손절 -5% (구조손절 캡),-5.0,28,35.7,1.689,2.084,11.67,-8.37,8.3,10,14.3,-4.7,11670241
Validation,참고    손절 -3%,-3.0,30,33.3,2.103,2.5,15.0,-6.05,5.7,9,14.3,-3.4,15000000
Validation,참고    손절 -2%,-2.0,30,26.7,1.993,1.9,11.4,-5.44,4.7,9,14.3,-2.61,11400000
Test,Before  손절 -12% (유실 상태),-12.0,19,52.6,1.289,1.374,5.22,-10.18,9.3,2,11.64,-10.03,5219813
Test,After   손절 -5% (구조손절 캡),-5.0,20,45.0,1.693,2.0,8.0,-6.58,6.2,4,10.86,-5.25,8001025
Test,참고    손절 -3%,-3.0,20,35.0,1.532,1.2,4.8,-5.8,4.6,7,9.87,-3.47,4801025
Test,참고    손절 -2%,-2.0,21,33.3,1.93,1.586,6.66,-5.19,3.9,7,9.87,-2.56,6661025
