universe,stage,passed,removed,removed_pct
78,CHoCH,701,36815,98.13
78,RVOL,285,416,59.34
78,ATR,270,15,5.26
78,MA50,118,152,56.3
78,Top3/Trades,60,58,49.15
120,CHoCH,1135,56524,98.03
120,RVOL,491,644,56.74
120,ATR,456,35,7.13
120,MA50,215,241,52.85
120,Top3/Trades,90,125,58.14
160,CHoCH,1562,75330,97.97
160,RVOL,706,856,54.8
160,ATR,644,62,8.78
160,MA50,311,333,51.71
160,Top3/Trades,112,199,63.99
220,CHoCH,2067,103321,98.04
220,RVOL,976,1091,52.78
220,ATR,881,95,9.73
220,MA50,424,457,51.87
220,Top3/Trades,136,288,67.92
