stock_code,name,buy_trades,closed_trades,net_pnl,origin,in_default_candidates
006400,삼성SDI,1,1,-376000,Swing Runner,True
005930,삼성전자,3,2,-330000,Swing Runner,True
000660,SK하이닉스,1,1,-240000,Swing Runner,True
035420,NAVER,1,1,-143000,Swing Runner,True
361390,제노코,1,8,-10950,조건검색식 (VWAP+AI),False
396470,워트,5,4,-7620,조건검색식 (VWAP+AI),False
489500,엘케이켐,10,8,-5100,조건검색식 (VWAP+AI),False
101330,모베이스,1,1,-3640,조건검색식 (VWAP+AI),False
452160,제이엔비,5,5,-3630,조건검색식 (VWAP+AI),False
009420,한올바이오파마,3,12,-3200,조건검색식 (VWAP+AI),False
474650,링크솔루션,2,2,-2500,조건검색식 (VWAP+AI),False
053700,삼보모터스,4,2,-2450,조건검색식 (VWAP+AI),False
047040,대우건설,2,1,-2160,조건검색식 (VWAP+AI),False
217330,싸이토젠,4,4,-2110,조건검색식 (VWAP+AI),False
419080,엔젯,1,1,-1800,조건검색식 (VWAP+AI),False
218410,RFHIC,1,1,-1800,조건검색식 (VWAP+AI),False
298830,슈어소프트테크,1,1,-1750,조건검색식 (VWAP+AI),False
323280,태성,1,4,-1700,조건검색식 (VWAP+AI),False
056080,유진로봇,2,1,-1700,조건검색식 (VWAP+AI),False
189300,인텔리안테크,3,3,-1700,조건검색식 (VWAP+AI),False
078600,대주전자재료,1,1,-1700,조건검색식 (VWAP+AI),False
007810,코리아써키트,2,1,-1400,조건검색식 (VWAP+AI),False
060280,큐렉소,1,1,-1320,조건검색식 (VWAP+AI),False
232680,라온테크,6,2,-1305,조건검색식 (VWAP+AI),False
019180,티에이치엔,1,1,-1190,조건검색식 (VWAP+AI),False
004310,현대약품,1,1,-1020,조건검색식 (VWAP+AI),False
059270,해성에어로보틱스,1,1,-1010,조건검색식 (VWAP+AI),False
437730,삼현,2,2,-1000,조건검색식 (VWAP+AI),False
073490,이노와이어리스,1,1,-1000,조건검색식 (VWAP+AI),False
302430,이노메트리,1,1,-900,조건검색식 (VWAP+AI),False
030530,원익홀딩스,1,1,-850,조건검색식 (VWAP+AI),False
095610,테스,1,1,-800,조건검색식 (VWAP+AI),False
211270,AP위성,1,1,-750,조건검색식 (VWAP+AI),False
223250,드림씨아이에스,2,1,-720,조건검색식 (VWAP+AI),False
451760,컨텍,2,1,-700,조건검색식 (VWAP+AI),False
200710,에이디테크놀로지,1,1,-700,조건검색식 (VWAP+AI),False
368770,파이버프로,2,2,-680,조건검색식 (VWAP+AI),False
160980,싸이맥스,1,1,-600,조건검색식 (VWAP+AI),False
003160,디아이,1,1,-550,조건검색식 (VWAP+AI),False
049630,재영솔루텍,1,1,-490,조건검색식 (VWAP+AI),False
250060,모비스,1,1,-490,조건검색식 (VWAP+AI),False
058610,에스피지,1,1,-400,조건검색식 (VWAP+AI),False
281740,레이크머티리얼즈,1,1,-400,조건검색식 (VWAP+AI),False
458650,성우,1,1,-400,조건검색식 (VWAP+AI),False
130660,한전산업,1,1,-300,조건검색식 (VWAP+AI),False
013360,일성건설,1,1,-280,조건검색식 (VWAP+AI),False
039860,나노엔텍,1,1,-210,조건검색식 (VWAP+AI),False
460940,피앤에스로보틱스,1,1,-150,조건검색식 (VWAP+AI),False
295310,에이치브이엠,2,1,-150,조건검색식 (VWAP+AI),False
082920,비츠로셀,2,3,-150,조건검색식 (VWAP+AI),False
417840,저스템,1,1,-140,조건검색식 (VWAP+AI),False
317240,TS트릴리온,3,3,-135,조건검색식 (VWAP+AI),False
092200,디아이씨,2,1,-100,조건검색식 (VWAP+AI),False
200470,에이팩트,1,1,-70,조건검색식 (VWAP+AI),False
037030,파워넷,1,1,-60,조건검색식 (VWAP+AI),False
318060,그래피,6,5,-20,조건검색식 (VWAP+AI),False
294630,서남,1,1,-20,조건검색식 (VWAP+AI),False
TEST001,테스트종목,1,0,0,UNKNOWN (기록 없음),False
100790,미래에셋벤처투자,1,0,0,조건검색식 (VWAP+AI),False
124500,아이티센글로벌,2,2,0,조건검색식 (VWAP+AI),False
090710,휴림로봇,2,0,0,조건검색식 (VWAP+AI),False
417970,모델솔루션,1,0,0,조건검색식 (VWAP+AI),False
085910,네오티스,1,0,0,조건검색식 (VWAP+AI),False
003380,하림지주,2,0,0,조건검색식 (VWAP+AI),False
474170,루미르,1,0,0,조건검색식 (VWAP+AI),False
327260,RF머트리얼즈,1,0,0,조건검색식 (VWAP+AI),False
140670,알에스오토메이션,1,0,0,조건검색식 (VWAP+AI),False
482630,삼양엔씨켐,1,0,0,조건검색식 (VWAP+AI),False
098460,고영,1,0,0,조건검색식 (VWAP+AI),False
191410,육일씨엔에쓰,1,0,0,조건검색식 (VWAP+AI),False
031980,피에스케이홀딩스,1,0,0,조건검색식 (VWAP+AI),False
001120,LX인터내셔널,1,0,0,조건검색식 (VWAP+AI),False
039440,에스티아이,1,1,0,조건검색식 (VWAP+AI),False
111770,영원무역,1,0,0,조건검색식 (VWAP+AI),False
019210,와이지-원,1,0,0,조건검색식 (VWAP+AI),False
322000,HD현대에너지솔루션,1,0,0,조건검색식 (VWAP+AI),False
120110,코오롱인더,1,0,0,조건검색식 (VWAP+AI),False
001820,삼화콘덴서,1,0,0,조건검색식 (VWAP+AI),False
070300,엑스큐어,1,2,0,조건검색식 (VWAP+AI),False
TEST01,테스트종목,1,0,0,조건검색식 (VWAP+AI),False
TEST99,테스트,2,0,0,UNKNOWN (기록 없음),False
389030,지니너스,2,2,15,조건검색식 (VWAP+AI),False
105840,우진,3,3,50,조건검색식 (VWAP+AI),False
059120,아진엑스텍,1,1,60,조건검색식 (VWAP+AI),False
101170,우림피티에스,1,1,140,조건검색식 (VWAP+AI),False
448900,한국피아이엠,2,2,200,조건검색식 (VWAP+AI),False
476060,온코닉테라퓨틱스,2,1,300,조건검색식 (VWAP+AI),False
950160,코오롱티슈진,2,1,800,조건검색식 (VWAP+AI),False
080220,제주반도체,4,1,900,조건검색식 (VWAP+AI),False
023810,인팩,4,2,970,조건검색식 (VWAP+AI),False
274090,켄코아에어로스페이스,1,1,1000,조건검색식 (VWAP+AI),False
365590,하이딥,1,1,1020,조건검색식 (VWAP+AI),False
389500,에스비비테크,1,1,1100,조건검색식 (VWAP+AI),False
190510,나무가,1,1,1200,조건검색식 (VWAP+AI),False
049950,미래컴퍼니,1,3,1320,조건검색식 (VWAP+AI),False
458870,씨어스테크놀로지,1,1,5200,조건검색식 (VWAP+AI),False
240810,원익IPS,1,1,6300,조건검색식 (VWAP+AI),False
