stock_code,t2_time,result,pnl_pct,below_day_high_pct,intraday_pos_pct,prior_5d_pct_t0,exit_reason,tag,why
448900,2025-12-01 09:31:31.452365,EF,-0.83,1.94,86.8,11.16,"🚨 Early Failure Cut (2.0분, -0.83%)",EARLY_OPEN+HIGH_PROX,장 초반(09:31) CHoCH — 일중 방향성 미확정 상태에서 즉시 진입
318060,2025-12-01 09:43:39.387984,EF,-0.6,,,,"🚨 Early Failure Cut (2.0분, -0.60%)",EARLY_OPEN+NO_DAY_RANGE,장 초반(09:43) CHoCH — 일중 방향성 미확정 상태에서 즉시 진입
58610,2025-12-01 09:45:38.642350,EF,-0.63,2.29,65.4,36.66,"🚨 Early Failure Cut (6.0분, -0.63%)",EARLY_OPEN+HIGH_PROX,장 초반(09:45) CHoCH — 일중 방향성 미확정 상태에서 즉시 진입
92200,2025-12-01 09:47:36.345787,EF,-0.52,7.47,29.4,28.75,"🚨 Early Failure Cut (1.0분, -0.52%)",EARLY_OPEN,장 초반(09:47) CHoCH — 일중 방향성 미확정 상태에서 즉시 진입
200470,2025-12-03 09:32:32.354792,EF,-1.2,2.83,66.7,13.26,"🚨 Early Failure Cut (1.0분, -1.20%)",EARLY_OPEN+HIGH_PROX,장 초반(09:32) CHoCH — 일중 방향성 미확정 상태에서 즉시 진입
318060,2025-12-03 09:34:31.525696,EF,-1.08,,,,"🚨 Early Failure Cut (4.0분, -1.08%)",EARLY_OPEN+NO_DAY_RANGE,장 초반(09:34) CHoCH — 일중 방향성 미확정 상태에서 즉시 진입
460940,2025-12-03 11:36:37.032453,EF,-1.08,,,,"🚨 Early Failure Cut (2.0분, -1.08%)",NO_DAY_RANGE,"당일 고점 데이터 결측 — 고점 근접도 판단 불가, 장 초반이거나 이상치"
13360,2025-12-05 10:58:03.906643,EF,-0.84,3.07,78.9,48.15,"🚨 Early Failure Cut (5.1분, -0.84%)",OVEREXTEND,단기 과열(5d+48%) — 이미 확장된 구간에서 추가 CHoCH 발동
474650,2025-12-08 10:21:30.714060,LOSS,-2.91,,,,"Hard Stop (-3%, -2.91%)",NO_DAY_RANGE,"당일 고점 데이터 결측 — 고점 근접도 판단 불가, 장 초반이거나 이상치"
101170,2025-12-08 10:59:37.890884,WIN,0.59,7.95,55.8,24.33,ATR 트레일링 스탑 (+0.59%),CLEAN,정상 진입 — bdh=8.0% ipos=56% 여유 공간 확보 상태
302430,2025-12-10 13:43:15.120055,LOSS,-3.26,7.34,69.5,5.52,"Hard Stop (-3%, -3.26%)",CLEAN,패턴 불명 (bdh=7.3% ipos=70%)
30530,2025-12-11 10:07:07.097019,LOSS,-2.67,1.55,78.3,28.66,"Hard Stop (-3%, -2.67%)",HIGH_PROX,고점 근접(bdh=1.6%) — 여유 공간 없이 고점 수렴 구간에서 즉시 CHoCH
105840,2025-12-11 10:22:16.392879,WIN,0.6,3.06,75.7,8.19,ATR 트레일링 스탑 (+0.60%),CLEAN,정상 진입 — bdh=3.1% ipos=76% 여유 공간 확보 상태
389030,2025-12-11 13:12:57.819174,WIN,0.17,3.04,82.9,18.71,ATR 트레일링 스탑 (+0.17%),CLEAN,정상 진입 — bdh=3.0% ipos=83% 여유 공간 확보 상태
217330,2025-12-16 11:18:37.518695,LOSS,-2.71,4.05,82.0,22.32,"Hard Stop (-3%, -2.71%)",CLEAN,패턴 불명 (bdh=4.0% ipos=82%)
39860,2025-12-16 13:03:36.665507,LOSS,-0.62,5.91,68.1,40.33,ATR 트레일링 스탑 (-0.62%),OVEREXTEND,단기 과열(5d+40%) — 이미 확장된 구간에서 추가 CHoCH 발동
295310,2025-12-18 12:54:07.926458,LOSS,-0.36,5.02,70.3,33.08,다중 약화 신호 (VWAP↓+EMA3↓),CLEAN,패턴 불명 (bdh=5.0% ipos=70%)
223250,2025-12-19 10:16:38.149025,EF,-2.37,6.32,50.0,23.77,"🚨 Early Failure Cut (19.2분, -2.37%)",CLEAN,패턴 불명 (bdh=6.3% ipos=50%)
124500,2025-12-23 10:03:57.545624,WIN,1.29,4.32,69.6,12.43,"시간 기반 청산 (15:00, +1.29%)",CLEAN,정상 진입 — bdh=4.3% ipos=70% 여유 공간 확보 상태
49630,2025-12-26 10:30:09.307266,EF,-1.68,80.69,-285.6,18.82,"🚨 Early Failure Cut (5.0분, -1.68%)",CLEAN,패턴 불명 (bdh=80.7% ipos=-286%)
489500,2025-12-30 10:59:25.038575,EF,-2.09,,,,"🚨 Early Failure Cut (5.0분, -2.09%)",NO_DAY_RANGE,"당일 고점 데이터 결측 — 고점 근접도 판단 불가, 장 초반이거나 이상치"
232680,2026-01-02 10:01:02.677799,LOSS,-0.39,1.88,67.8,44.37,다중 약화 신호 (VWAP↓+EMA3↓),HIGH_PROX+OVEREXTEND,고점 근접(bdh=1.9%) — 여유 공간 없이 고점 수렴 구간에서 즉시 CHoCH
80220,2026-01-02 10:01:05.460225,WIN,1.47,13.6,6.6,37.6,Squeeze: dark_red 모멘텀 반전 (+1.47%),CLEAN,정상 진입 — bdh=13.6% ipos=7% 여유 공간 확보 상태
