date,code,entry_price,ret_0d,ret_1d,ret_3d,ret_5d,mfe_5d,mae_5d
2026-07-03,000500,292500.0,-5.13,-3.25,-20.51,-12.99,-0.17,-28.03
2026-07-03,019210,22100.0,2.26,20.81,-0.45,1.81,28.96,-5.66
2026-07-03,138040,112200.0,0.62,0.18,1.34,2.5,4.55,-2.32
2026-07-03,170920,54200.0,-0.18,-9.32,-27.21,-7.2,3.69,-28.97
2026-07-03,462870,35100.0,-0.43,-0.71,2.56,0.14,4.27,-2.28
2026-07-06,019210,26250.0,1.71,-12.76,-15.43,-18.86,-2.48,-20.57
2026-07-06,093320,125100.0,0.08,1.2,6.79,2.8,11.43,-0.8
2026-07-06,462870,35300.0,-1.27,2.69,-1.27,-3.26,3.68,-11.61
2026-07-06,477850,26050.0,16.7,-5.95,13.82,-5.57,24.18,-12.48
2026-07-07,005680,15770.0,-1.08,-0.89,-6.72,-11.03,4.5,-12.18
2026-07-07,019210,22550.0,1.55,-2.44,-0.22,-11.09,6.43,-17.07
2026-07-07,041830,57600.0,-2.78,-5.9,-8.85,-9.03,2.43,-17.88
2026-07-07,078930,82100.0,-2.44,-4.26,-2.31,-3.78,5.12,-8.65
2026-07-07,093320,125700.0,0.72,3.34,5.65,4.93,10.9,-0.88
2026-07-07,180640,132500.0,0.98,2.72,1.66,-15.92,5.81,-15.92
2026-07-07,462870,35550.0,1.97,1.27,-1.13,-9.14,2.53,-12.24
2026-07-08,001450,38000.0,-0.13,-5.13,1.45,-2.76,5.13,-6.45
2026-07-08,005680,15670.0,-0.26,-5.74,-8.81,-5.81,3.25,-11.61
2026-07-08,078930,79200.0,-0.76,-4.55,0.38,3.28,8.96,-5.3
2026-07-08,093320,128900.0,0.78,3.65,-0.23,6.28,8.15,-0.78
2026-07-08,109610,2700.0,-7.22,-15.93,-19.81,-22.59,1.11,-26.67
2026-07-08,180640,135000.0,0.81,-6.67,-2.52,-16.89,3.85,-18.81
2026-07-08,462870,36250.0,-0.69,-3.86,-5.79,-10.07,0.14,-13.93
2026-07-08,477850,28250.0,-4.07,4.96,-12.92,6.73,14.51,-18.94
2026-07-09,041830,55400.0,0.18,-5.23,-5.42,-2.17,1.62,-14.62
2026-07-09,058730,5470.0,-9.32,-8.04,-19.74,-17.46,0.0,-24.68
2026-07-09,078930,77100.0,-1.95,4.02,2.46,7.39,11.93,-1.43
2026-07-09,093320,137200.0,-2.62,-3.21,-3.86,-2.77,1.31,-8.16
2026-07-09,109610,2530.0,-10.28,-10.28,-20.36,-20.95,-1.98,-21.74
2026-07-09,189330,15690.0,-16.32,-22.05,-42.26,-43.59,-11.47,-45.57
2026-07-09,214330,11150.0,-19.91,-22.6,-45.65,-50.22,-9.33,-53.18
2026-07-09,477850,30350.0,-2.31,-2.47,-7.91,-13.67,6.59,-24.55
2026-07-10,000660,2265000.0,-3.75,-18.54,-8.08,-22.12,-4.15,-25.92
2026-07-10,001450,37750.0,1.06,2.12,-2.12,-2.78,5.83,-5.7
2026-07-10,058730,5090.0,-1.18,-6.39,2.55,-14.34,7.47,-19.06
2026-07-10,078930,80500.0,-0.37,-1.24,1.61,3.35,8.82,-3.35
2026-07-10,093320,130200.0,2.0,-1.23,5.22,0.31,8.22,-3.23
2026-07-10,105560,188700.0,-2.28,-1.32,-3.76,-10.55,3.07,-12.24
2026-07-10,121440,6660.0,0.0,-0.3,0.0,-0.15,0.3,-0.3
2026-07-10,180640,132700.0,1.51,-0.83,-15.45,-20.2,5.65,-20.5
2026-07-10,189330,12500.0,-2.16,-20.32,-27.36,-29.44,0.64,-34.32
2026-07-10,214330,9630.0,-10.38,-27.93,-39.67,-46.83,-5.09,-46.94
2026-07-10,241710,84700.0,-2.01,4.72,-3.07,-8.5,12.04,-9.45
2026-07-10,477850,30050.0,-1.5,-18.14,0.33,-29.45,6.49,-30.95
2026-07-10,481070,16680.0,0.72,2.88,-4.86,-6.83,2.88,-10.25
2026-07-13,055550,112600.0,-3.55,-5.42,-4.17,-7.02,-0.18,-13.59
2026-07-13,078930,85100.0,-6.58,-7.17,-2.7,-3.06,2.94,-8.58
2026-07-13,080220,79600.0,-2.89,-7.41,2.89,-1.63,13.82,-12.56
2026-07-13,105560,193300.0,-3.67,-6.88,-6.31,-9.98,-1.6,-15.11
2026-07-13,121440,6660.0,-0.3,0.0,0.15,0.0,0.3,-0.15
2026-07-13,161890,115900.0,-0.09,-8.28,-7.16,-12.25,-0.78,-17.6
2026-07-13,180640,136300.0,-3.45,-18.27,-16.73,-24.58,0.29,-25.97
2026-07-13,241710,86900.0,2.07,-5.52,-2.42,-6.79,2.19,-15.42
2026-07-13,319660,198400.0,-6.96,2.57,-1.51,-14.31,6.85,-18.15
2026-07-14,000660,1851000.0,3.35,12.48,-4.7,-1.13,17.29,-6.43
2026-07-14,080220,74700.0,-1.34,19.28,4.42,0.4,21.29,-0.27
2026-07-14,095610,198200.0,9.74,7.97,-13.82,-21.04,16.8,-21.14
2026-07-14,319660,199400.0,2.06,2.56,-14.34,-21.41,6.32,-21.41
2026-07-15,000660,2105000.0,-1.09,-12.49,-12.78,-8.84,-4.7,-17.72
2026-07-15,080220,85800.0,3.85,-4.55,-8.74,-5.71,0.23,-13.17
2026-07-15,089970,114800.0,0.96,-5.66,-22.21,-28.92,-0.96,-31.53
2026-07-15,093320,134200.0,2.09,-0.6,-5.74,10.58,10.95,-8.79
2026-07-15,319660,205500.0,-0.49,-4.91,-17.27,-23.6,0.49,-26.96
2026-07-16,078930,83400.0,-0.72,-0.24,0.96,14.27,19.66,-4.8
2026-07-16,080220,83000.0,-1.33,-6.02,-9.64,-15.3,2.17,-15.3
2026-07-16,093320,134400.0,-0.74,-2.83,-4.24,6.99,10.79,-8.93
2026-07-16,101160,31450.0,-0.48,-6.36,-5.56,-8.9,0.16,-11.45
2026-07-16,161390,72500.0,1.52,-3.31,-0.14,-2.76,7.03,-8.69
2026-07-20,080220,78500.0,-0.64,-0.25,3.06,-10.19,8.03,-11.08
2026-07-21,000660,1820000.0,0.88,0.55,-3.35,,10.22,-6.21
2026-07-21,005930,259500.0,-0.19,0.39,-3.85,,6.36,-5.2
2026-07-21,080220,79000.0,-0.89,-5.06,-11.01,,7.34,-11.65
2026-07-21,317400,5780.0,3.81,11.94,30.8,,45.5,1.21
2026-07-21,332570,6650.0,0.0,4.21,6.32,,15.19,1.5
2026-07-22,000660,1988000.0,-7.95,-3.47,-12.63,,-2.01,-14.13
2026-07-22,005930,273250.0,-4.67,-1.19,-9.61,,-0.09,-9.97
2026-07-22,080220,83400.0,-10.07,-3.0,-15.47,,0.48,-16.31
2026-07-23,000660,1939000.0,-1.03,-9.28,,,-2.32,-11.96
2026-07-23,005930,271250.0,-0.46,-8.02,,,-1.75,-9.31
2026-07-23,080220,81200.0,-0.37,-13.42,,,-2.09,-14.04
2026-07-23,089030,50500.0,0.59,-10.79,,,-0.59,-12.67
2026-07-23,100090,17370.0,-0.63,5.64,,,20.03,-12.15
2026-07-23,310200,2600.0,5.19,2.12,,,9.62,0.0
2026-07-27,003160,20750.0,-0.72,,,,,
2026-07-27,079160,5120.0,-0.98,,,,,
