start_date,end_date,length_trading_days,max_decline_kospi_pct,max_decline_kosdaq_pct,recovery_days,trendup_transition_days
2022-06-07,2022-07-15,29,-14.18,-19.87,391,1
2023-09-19,2023-11-03,29,-11.52,-17.41,33,1
2022-09-14,2022-10-17,22,-12.0,-18.22,19,8
2024-07-18,2024-08-14,20,-14.13,-16.65,193,1
2026-07-01,2026-07-27,18,-23.13,-18.33,N/A(미회복),N/A(미전환)
2022-02-07,2022-02-28,16,,,N/A(미회복),2
2022-12-16,2023-01-06,14,-6.03,-7.08,4,1
2024-01-15,2024-01-31,13,-3.53,-7.93,1,6
2024-08-29,2024-09-19,13,-6.56,-7.38,166,3
2024-11-06,2024-11-22,13,-6.21,-9.95,52,14
2022-05-02,2022-05-19,12,-5.38,-7.86,447,2
2024-11-27,2024-12-11,11,-6.34,-9.54,17,1
2024-04-09,2024-04-23,10,-4.91,-3.23,8,1
2025-03-28,2025-04-10,10,-12.02,-9.06,19,6
2023-08-14,2023-08-23,7,-3.35,-3.82,17,5
2024-12-19,2024-12-30,7,-3.42,-4.53,3,2
2025-02-28,2025-03-11,7,-3.54,-6.4,6,4
2022-09-01,2022-09-08,6,-3.87,-4.81,42,1
2022-12-06,2022-12-13,6,-1.99,-2.84,27,17
2023-05-10,2023-05-17,6,-1.38,-2.55,1,2
2024-10-18,2024-10-25,6,-1.48,-4.92,1,34
2026-03-30,2026-04-06,6,-7.1,-8.25,1,5
2022-04-22,2022-04-28,5,-3.27,-4.03,465,15
2022-10-19,2022-10-25,5,-1.64,-3.24,2,2
2024-05-29,2024-06-04,5,-3.21,-2.23,5,2
2025-08-18,2025-08-22,5,-2.96,-4.66,12,1
2023-04-25,2023-04-28,4,-1.53,-2.9,1,13
2022-05-24,2022-05-26,3,-1.57,-2.1,2,2
2022-08-22,2022-08-24,3,-2.3,-3.78,151,5
2023-03-14,2023-03-16,3,-2.56,-3.91,4,4
2023-06-28,2023-06-30,3,-1.22,-1.41,1,1
2023-07-06,2023-07-10,3,-2.26,-3.46,3,2
2024-10-30,2024-11-01,3,-2.88,-2.03,70,29
2025-11-21,2025-11-25,3,-3.96,-4.03,6,5
2022-03-07,2022-03-08,2,-3.35,-3.42,10,6
2022-03-14,2022-03-15,2,-1.49,-2.3,2,2
2022-04-11,2022-04-12,2,-1.25,-2.24,1,1
2022-04-15,2022-04-18,2,-0.87,-1.05,1,1
2022-08-29,2022-08-30,2,-2.18,-2.81,49,1
2023-05-03,2023-05-04,2,-0.93,-1.45,10,10
2023-08-07,2023-08-08,2,-1.11,-2.84,1,1
2023-09-12,2023-09-13,2,-0.87,-3.27,1,33
2024-04-25,2024-04-26,2,-1.76,-1.04,1,1
2025-08-01,2025-08-04,2,-3.88,-4.03,25,1
2025-09-01,2025-09-02,2,-1.35,-1.49,2,1
2025-11-18,2025-11-19,2,-3.91,-3.47,12,1
2026-03-23,2026-03-24,2,-6.49,-5.56,11,1
2026-06-10,2026-06-11,2,-4.52,-1.67,1,N/A(미전환)
2023-07-26,2023-07-26,1,-1.67,-4.18,4,2
2023-09-07,2023-09-07,1,-0.59,-1.26,5,37
2024-04-03,2024-04-03,1,-1.68,-1.3,46,14
2024-04-05,2024-04-05,1,-1.01,-1.2,20,12
2024-05-24,2024-05-24,1,-1.26,-0.85,1,9
2025-02-03,2025-02-03,1,-2.52,-3.36,3,2
2025-03-14,2025-03-14,1,-0.28,1.59,1,1
2025-12-16,2025-12-16,1,-2.24,-2.42,4,4
2025-12-18,2025-12-18,1,-1.53,-1.07,2,2
2026-03-04,2026-03-04,1,-12.06,-14.0,10,1
2026-03-09,2026-03-09,1,-5.96,-4.54,2,2
2026-06-08,2026-06-08,1,-8.29,-9.08,5,N/A(미전환)
2026-06-23,2026-06-23,1,-9.99,-7.94,N/A(미회복),N/A(미전환)
2026-06-29,2026-06-29,1,-0.2,8.13,1,N/A(미전환)
